run_id,channel,I_set,I_meas_A,B1_mean_T,B1_std_T,golden_B1_mean_T,worst_absdiff_T,worst_order,n_turns
16,H,0.39,997.8062983212105,-9.781547650007227e-05,4.840000403210819e-09,-9.78154765000723e-05,4.0657581468206416e-20,1,10
17,H,-0.39,997.875251858319,-3.307467151669538e-05,6.867430862138879e-09,-3.307467151669537e-05,9.486769009248164e-20,1,10
18,H,0.26,997.9923549499078,-8.636591792415309e-05,1.0933797085515585e-08,-8.636591792415309e-05,8.406802001498931e-20,12,10
19,H,-0.26,997.9275464083694,-4.438604150836625e-05,4.66731550162005e-09,-4.4386041508366255e-05,1.641126335305207e-19,12,10
20,H,0.173,997.8221875135566,-7.885969225974364e-05,7.544636412807418e-09,-7.885969225974356e-05,7.860465750519907e-19,1,10
21,H,-0.173,997.7737993806089,-5.170706348569937e-05,4.715006183982776e-09,-5.170706348569939e-05,5.149960319306146e-19,1,10
22,H,0.116,997.7437539622202,-7.405541259775436e-05,5.605088425939793e-09,-7.405541259775435e-05,7.724940478959219e-19,1,10
23,H,-0.116,997.8345325555065,-5.6411494163170134e-05,7.249638544034003e-09,-5.641149416317017e-05,3.2526065174565133e-19,1,10
24,H,0.077,997.9389987687064,-7.084338178465868e-05,1.071776753763061e-08,-7.084338178465878e-05,8.402566836762659e-19,1,10
25,H,-0.077,998.0220217496404,-5.9513902929940076e-05,7.189544885668638e-09,-5.951390292994001e-05,5.963111948670274e-19,1,10
26,H,0.051,998.028118793192,-6.879873792450588e-05,7.702905407426093e-09,-6.879873792450588e-05,3.1573153108904045e-19,12,10
27,H,-0.051,998.0391346007788,-6.152683193646714e-05,5.271319421640354e-09,-6.152683193646714e-05,2.168404344971009e-19,1,10
28,H,0.034,998.1340793443045,-6.749695432574602e-05,5.826460465608767e-09,-6.749695432574604e-05,2.675300624343504e-19,12,10
29,H,-0.034,998.0566276244278,-6.27721598830718e-05,6.723010916122294e-09,-6.27721598830718e-05,4.055170234979963e-20,12,10
30,H,0.023,998.073052738206,-6.668729279246331e-05,9.448303617936588e-09,-6.668729279246331e-05,3.083199928005653e-19,12,10
31,H,-0.023,998.0617897173395,-6.35624350381183e-05,5.597620935366434e-09,-6.356243503811828e-05,2.710505431213761e-20,1,10
32,H,0.015,998.1994246202378,-6.612485041617027e-05,5.683606530956416e-09,-6.612485041617027e-05,1.4907779871675686e-19,1,10
33,H,-0.015,997.5352815508717,-6.413342311225925e-05,8.069774640713745e-09,-6.413342311225925e-05,2.710505431213761e-20,1,10
34,H,0.01,997.9060687466894,-6.57934856464724e-05,6.230543160930909e-09,-6.579348564647232e-05,6.369687763352339e-19,1,10
35,H,-0.01,998.0665144569763,-6.44782500090181e-05,6.167309449903684e-09,-6.447825000901817e-05,5.827586677109586e-19,1,10
36,H,0.0,998.18205590746,-6.510392285802598e-05,4.989005368106728e-09,-6.510392285802598e-05,2.0328790734103208e-19,1,10
37,V,10.0,998.1267140487573,0.0009013530619774763,2.1516481377216422e-08,0.00090135306197742,9.768661574094395e-17,1,10
38,V,-10.0,998.2234793982934,-0.0009072647031276684,3.014239992008106e-08,-0.0009072647031276202,9.71445146547012e-17,1,10
39,V,6.667,998.2053260351993,0.0005972677081316368,1.9124904167617388e-08,0.0005972677081315799,9.562663161322149e-17,1,10
40,V,-6.667,998.4027458931083,-0.0006118846857398609,2.8999086015177445e-08,-0.0006118846857398099,9.93129189996722e-17,1,10
41,V,4.444,998.8323369620679,0.00039841581678603876,1.7054523552558363e-08,0.0003984158167859899,9.562663161322149e-17,1,10
42,V,-4.444,999.1514673051167,-0.0004115594966910137,2.1047268560500137e-08,-0.00041155949669097,9.383769802862041e-17,1,10
43,V,2.963,999.4559093678447,0.0002687190158438483,1.046364469063529e-08,0.00026871901584379004,9.898765834792655e-17,1,10
44,V,-2.963,999.9534831321432,-0.00027907412889749216,1.1799294498926635e-08,-0.00027907412889744,8.955509944730267e-17,1,10
45,V,1.975,1000.3729855795136,0.00018430123381300137,1.232217423972152e-08,0.00018430123381296,9.50574254726666e-17,1,10
46,V,-1.975,1000.6986612759114,-0.00019258755931013887,1.3661241946182792e-08,-0.00019258755931008,9.378348791999613e-17,1,10
47,V,1.317,1000.9287709829412,0.00013095630061166587,7.213543349564183e-09,0.00013095630061162,8.063753657860939e-17,1,10
