turn_idx,B1,A1,B2,A2,B3,A3,B4,A4,B5,A5,B6,A6,B7,A7,B8,A8,B9,A9,B10,A10,B11,A11,B12,A12,B13,A13,B14,A14,B15,A15
137,-2297543162.608779,7428664303.112816,4.761203971696701,7.076230832270691e-19,4568.451236332554,21994.035657129076,-0.1650487334740673,-2.17264841774868,-350755.3400001204,685143.5955570503,174.6031726997336,608.9890867041568,97493996.86336161,2015698787.7075906,1674805.3278510557,587911.3486432781,-1262913297718.588,20708997123.836964,-960504448.801389,-1568912329.3680105,1198551609823604.5,-1937809027624394.2,-983428004609.0314,-3201430514904.4434,-5.62089962158189e+18,-1.8326386858512589e+19,1359938983174681.8,5228252992349562.0,4.154566775120542e+19,3.3969343431079273e+21
138,-2339183139.5194335,7232933156.576811,4.76123358085034,-5.65208645863152e-19,4459.859883147107,22250.75493851239,-0.07814317314776115,-1.963082750533354,-1351746.0333007963,-160861.92328898405,-222.56565301863924,280.28351340777624,792633415.0043441,2074073348.9659467,449961.06068632304,-428950.8769625758,1404309752923.0757,1389932340810.073,328799294.4915436,-2737798845.749318,1426693561603395.0,-4120687958022725.0,-434106437496.765,490375410787.72876,1.1250823319722318e+19,-1.1099698914698783e+19,2453062158930734.5,7787519940856127.0,-6.381337038200789e+20,3.13427053892015e+21
139,-1983241742.7366269,7540883006.313058,4.7612521925929725,-5.26706921382395e-19,4368.782133712248,22262.228444357836,0.1447461677011349,-2.141669427609969,-509434.8005109979,397287.7032711851,218.70301638774538,19.24396862761694,-428269013.92188275,2306869924.0147567,-569760.1820571152,328319.7536639003,1138714603990.9714,294363341611.655,-924914679.5340333,-3777301338.7515798,1647976380631387.2,-3486873570212756.0,-2278119351052.221,-6503521430280.782,1.040641253917381e+19,3.1091872107401536e+17,2.2465013142597984e+16,1.2279488748411952e+16,1.399894885916867e+22,-1.0568588155325853e+21
140,-1528990702.2225325,5473253220.799354,3.5772155604187517,4.3922884427206475e-18,3515.7912782155026,16679.676513073882,-0.10644864131495888,-1.680553588073471,-485156.4635786934,224041.12090430286,148.53182610082396,197.86485854888724,-490132647.1187418,1717069509.1513438,149646.64860163134,702505.2202049589,-68222985706.22096,862515354804.6289,-364982079.6310019,-2349002985.341852,2647375602878064.5,-2104957061737662.8,1313716683592.448,2178136141873.054,7.681492141165515e+18,-9.592326699023827e+18,3882622138656014.0,1463845182911008.5,2.1004969843039784e+21,4.247344422587356e+21
141,-1504116850.6539936,5475787233.010459,3.5772001262277433,5.850312104485651e-19,3284.181728233115,16784.091402966416,-0.09070302522527217,-1.5463173294951578,-478743.83930354577,261517.01038938176,92.3635341820737,218.79949428510187,-551532779.2455242,837530257.7535839,-150459.69838981194,-729595.6845776722,-84180525981.8559,1840530404897.9292,-442016682.4182654,-2155844989.640087,3809415379047043.5,-2079858813862657.0,-2289067555624.689,2417299082164.093,7.327545595850057e+18,2.9400394022654203e+18,7530234956323382.0,2767426962217063.5,-8.257053640167912e+21,4.2902299738666073e+21
142,-1658802872.021265,5531251569.44887,3.5771719167390343,-1.384648266740802e-18,3422.2991700191296,16545.621508289365,0.056153126995539586,-1.6028083243309033,-1212977.7171023688,52449.86061197535,-185.3431177670378,190.32744119167418,-319876372.02004504,1276800929.5209062,-1188212.551638687,-299016.3726225482,608559070310.842,2158437300384.3938,143856961.7337631,-2279674435.414298,3054831374988505.5,341978282612189.75,-1171905513065.0596,-1447198337972.4087,1.1173913079842381e+18,7.153937123748976e+18,7046730241508485.0,6212328672043422.0,-4.572392787976859e+21,-3.4004372253947095e+21
143,-1702189389.3724,5593283195.043615,3.5771802081350375,4.0561940094841695e-19,3702.4906424589044,16484.031631643902,-0.08953019193662567,-1.7163957794554132,-631069.0725375919,51609.31492809726,115.11525245993515,252.17870327216426,-101130963.36581807,1350262583.8413165,-357907.7629085376,868264.7378739059,-642090429727.4741,311661869906.5649,-66246043.35329663,-2414850383.1219664,1205627272080789.8,-462229940675760.4,219217647724.159,-1984466599315.9792,-7.907145196009936e+18,4.98939938851635e+18,4259625673770814.5,1.215278324310355e+16,4.3271789151949575e+21,-3.7444375897510914e+21
144,-1515759297.9519458,5861330989.0848875,3.577185173944547,1.1333066820013915e-18,3629.8443413398745,16738.857273766047,-0.14821866780506832,-1.5627718669022452,-122120.92555134089,428554.88165798195,86.53219721921302,511.3342142676715,76613888.96750443,1304894255.5442781,518833.7219514414,-162959.31145608294,-1807028348910.2102,-351763637998.61127,316263583.9094009,-1295749391.7173386,1294194148044292.5,-793695927362895.2,42495510908.95737,-2099385604013.7656,-1.2946586294306234e+19,-3.419251301191775e+18,1200959261318447.5,9818617594824228.0,-3.0985075923489856e+20,1.873679060047993e+21
145,-1572468682.6107163,5736013801.669388,3.5771576833689562,2.9151448076460662e-18,3598.8168806322415,16691.25886630217,-0.03767592569141322,-1.4897215747152794,-795396.5897988239,153379.15267028802,-198.9492511072976,247.9723746752666,379465376.8156535,1179189835.7339647,-13231.78701033512,-613221.333084581,816165138796.3074,-324881098484.82513,52309490.32606448,-1556125976.8195329,-131210397532983.42,-1407101450945971.8,2218824477733.7856,-426022220138.2074,-3.5669932265549466e+18,-1.2530986901172896e+19,-983278906009610.8,5177887385611760.0,2.0779863289024285e+21,5.11276922153388e+21
146,-1462085081.4975753,5522576478.6921625,3.577170285256579,-1.7113816319333315e-18,3551.2100049476467,16739.505527789614,0.014323667357812622,-1.7007276812883225,-333159.89019939554,427833.55546488985,97.69445969250896,101.18834129188278,278379730.3705183,1635079109.0483413,-426589.6356929654,644796.8528342348,990062614939.6442,-1758359462795.594,-362311000.4378481,-2698505052.837102,818115445179865.4,-3542753168782480.0,335624958795.63245,2641335667533.266,6.680780754099856e+18,-6.36290976315e+18,-422210957800163.9,3412259148615414.0,-5.618274681882981e+21,8.12099063755302e+21
147,-1473741318.8991647,5674436591.5774765,3.577147599243277,-1.5617224305095638e-18,3553.7275646169737,16754.247189904236,-0.03984182557775445,-1.6481456805677568,-560125.1850192698,366235.50437173725,12.16276560954088,227.81310818211978,-428386531.26399326,2216157241.576861,429416.41559030215,920848.1961392272,557121458028.7568,1215120405079.955,593823205.494697,-1788000112.1622272,2724424275753516.5,-3301186613721348.0,-1211557246284.6287,466014958665.0848,8.13271694811906e+18,3.744158679904743e+18,7830479574226717.0,-513716289770751.3,-1.0377086611011194e+22,-5.101053952183684e+20
148,-1566592138.9582646,5309498455.062797,3.577107189383391,9.351178516356383e-19,3394.465406323006,16585.132591072015,-0.14258990661745274,-1.5338012395822924,-1202345.100263342,-20502.766635111235,-205.88769656777032,360.8589477763721,-98026772.38710578,2052208379.1902149,668583.9836990975,31024.280136126992,1778686138366.414,2066678096206.244,150226394.72363925,-2050629634.6964066,2439906114505156.0,-2180144549792857.8,-3424936769961.5806,-881610490946.2711,3.898217868246893e+17,7.85999046921003e+18,9758123133946362.0,7109095069407262.0,-1.306087554290015e+21,-5.575082492960813e+21
149,-1561750036.9723787,5283899894.513112,3.5770945523136946,1.711811641898461e-18,3275.2576381284275,16673.08077766545,-0.028532701885086612,-1.585730293250404,-433512.2333513169,287543.2804258266,36.69843465894223,164.23031454389982,302418425.75424165,1486016245.2033544,-671248.0300348717,-29793.011612931645,-491743080166.78174,1171560539637.4644,-223461334.43768123,-1703575948.8270197,3148381609036446.5,-2362135230657618.0,-2779242819518.6655,-2318655012664.6587,-1.0337414776536973e+19,7.84015034385621e+18,1883946863899214.2,9737490780886974.0,1.90676109431953e+21,-2.4120193254163077e+21
150,-1732752501.267836,5611503325.997692,3.5771323825685792,7.801657406845026e-19,3435.7587563770026,16681.85364447579,0.0450473554730476,-1.6919873570007182,-573817.4085542999,216765.16128216987,308.41553111206883,416.46696765139745,-394277536.64280105,1191072767.4220445,-1019991.6721101265,783383.7451456138,-2109850515341.1072,1735128180480.8325,-254222997.12628844,-1778107931.677243,2391009131180250.0,-1746234480983773.0,-527203821211.56915,-2913206057062.9956,-1.1501603463454222e+19,-3.2356540418612567e+18,961093901451506.4,9753875863701322.0,8.971088300830214e+21,1.534527511253269e+21
151,-1611677722.3386574,5424497129.106309,3.5770792766167894,9.92177434009925e-20,3744.6531239887095,16275.912886497383,-0.15493511156065468,-1.6853708516768748,-718930.4986760336,210795.74838354983,-65.2650620540027,281.8584735075032,-957982211.2085936,1381975488.457895,647700.9465865454,350811.7651236997,-257332754755.36157,136368927160.57558,-589776231.8627503,-1769319004.5384605,1823768426857923.0,-1349593117287812.8,-588973194040.2799,-2408796238517.4585,-3.4918149177411814e+18,-1.154562216341647e+19,-2912146214568256.0,7657722598958648.0,4.2079263721581104e+21,8.562572345982387e+21
152,-1572852845.8757567,5661990944.301471,3.5770705734769073,-5.393061074649296e-20,3626.2586853537036,16528.812881256013,-0.026726799443140443,-1.5032627107539205,-481067.59838045103,727530.5563496023,-211.3545647782869,-87.14909856569525,-243714686.70084396,1287730191.730799,459388.75218876975,-582812.9808491593,666192996929.1394,-1899004986656.6821,-408616529.1834417,-1015465386.8329799,2256011902643168.5,-930392607806170.6,1070205109919.268,-2597260128568.223,4.826171692181838e+18,-8.820876297959395e+18,1172702505816589.5,-601308907118389.6,-9.754188894353177e+21,5.70912961987447e+21
153,-1790076581.194025,5652843038.164668,3.5771366738883863,2.1768191722993414e-18,3786.874125924399,16604.610424612572,-0.04737981696374113,-1.5838653092501873,-517825.68261150667,381946.63235287677,-63.06888536859336,202.05569039422443,380520331.7135877,1592826106.576724,14864.139366929732,-209170.88794850832,863146294517.0219,-817825181087.8341,-408251284.31110436,-1965796479.4721115,720767792588502.4,-1474440535296367.8,-610239483653.981,-2763062988571.661,6.902285707377838e+18,-6.705478204152794e+18,1.830793439368383e+16,1.7062020874363766e+16,1.8181085065293796e+21,1.267567762313582e+21
154,-1360504274.6225047,4619631392.430854,2.9824932078978335,-5.785394734487974e-19,3140.6946340516242,13547.38668177182,-0.05437859484881777,-1.3740223957000377,-439663.6864677632,309642.047045951,-103.75199010592574,130.9841664344846,-645536961.7270303,1511344110.017578,353559.68829675514,181652.6538421616,-572618227457.8156,1563463466806.173,248472553.60682634,-663822281.5531012,2268145545645282.0,-460754935479500.9,-1962048271436.0095,1087393751062.3745,4.107159409689248e+18,-6.67379852616376e+18,-1603794985347961.2,362639491916416.6,-5.923732995130136e+21,7.985303288457792e+21
155,-1310802820.8474603,4641153415.644487,2.9824699640850425,3.6111881439057306e-19,2948.9666974834045,13799.867934021137,-0.06863193823480801,-1.2644873734529574,-780892.6488059688,153348.51769007032,-268.47442504841564,322.1778389796989,-16763310.877932202,1190187113.4940615,305815.5601301918,-957008.8001194387,-72306877281.02791,477459616335.0887,203870874.37864706,-1985078707.0755973,1188427074722628.8,254429282775845.6,-2095719345553.1267,407869959422.3865,7.678910731017331e+18,1.4604425649673623e+18,6431892882811093.0,1303723716351336.8,-9.134595796734759e+21,1.2484065912084339e+20
156,-1429004168.0625331,4671796152.074238,2.982482351654033,3.2276398016607126e-18,3190.241804980361,13675.766541618028,0.0567561121292836,-1.2994758839852618,-196435.44704197816,515855.0792550222,-46.613711633195166,174.17427607630637,308400248.3579141,809993654.4276141,-626379.9408427139,-87838.46414308785,-1092432114872.1238,-686597148066.4127,-171251476.53663865,-1439872911.7580345,372759104176932.5,-374526819962076.7,-2631733807888.158,-1861281215314.3152,7.690967516281224e+16,9.082586732166477e+18,7598973525900394.0,2110272772264040.8,-3.3217064157031993e+21,-6.679743302962113e+21
